course_name,course_id,credits
3D-grafiikka ja animaatiot,TT00EW81,4
Artificial Intelligence with Python,TT00EV76,3
C-ohjelmointi,TT00VI06,3
C-Programming,TT00CB05,3
C#-ohjelmointi,TT00AC49,4
C++ Programming,TT00CB04,3
ChatGPT markkinoinnin tukena,TT00FK72,3
Dart Programming,TT00GD76,3
Discrete Mathematics,TT00ES93,3
Diskreetti matematiikka,TT00EM30,3
Dynamics 365 CRM Fundamentals MB-910,TX00FV92,2
Dynamics 365 ERP Fundamentals MB-920,TX00FV91,2
Engineering Mathematics 1,TT00EM33,5
Engineering Mathematics 2,TT00FC39,5
Engineering Physics 1,TT00EZ11,5
Engineering Physics 2,TT00FC37,5
Expressions and Equations,TT00ES95,5
Finnish for Foreigners 1,TT00ER83,5
Finnish for Foreigners 2,TT00ER84,5
Finnish for Foreigners 3,TT00ER85,5
Finnish for Foreigners 4,TT00GP38,5
How to become a Youtuber?,TX00FG02,5
How to improve your Marketing using ChatGPT,TT00GD77,3
Insinöörifysiikka 1,TT00ER82,5
Insinöörifysiikka 2,TT00EW22,5
Insinöörimatematiikka 1,TT00EM34,5
Insinöörimatematiikka 2,TT00EW06,5
Introduction to Artificial Intelligence,TT00EV75,3
Introduction to C# Programming,TT00EM32,3
Introduction to Java Programming,TT00CB03,3
Introduction to JavaScript,TT00ET75,5
Introduction to Kotlin,TT00EN72,3
Introduction to Scala,TT00EW05,3
Javascript-perusteet,TT00DV43,5
Lausekkeet ja yhtälöt,TT00ES66,5
Linux-basics,TT00EX57,3
NodeJS,TT00EM31,3
Ohjelmoinnin perusteet (Java),TT00VI07,3
Ohjelmoinnin perusteet ja Java SE,TT00EW20,3
Ohjelmoinnin perusteet (C++),TT00VI08,3
Olio-ohjelmointi (C++),TT00VI01,3
PHP-ohjelmointi,TT00AB77,3
PHP Programming,TT00CA99,3
Power Automation Micro Degree,TT00FT76/FT79/FT78,5
Probability and Statistics,TT00ES94,3
Python and Data Analytics & Statistics,TX00FV84,3
Python-ohjelmointi,TT00AB76,3
Python Programming,TT00CB02,3
React js fundamentals,TT00EO88,3
Robotic Process Automation (RPA),TT00EZ13,3
RPA for Python,TT00FY44,3
Ruby-ohjelmointi,TT00AC16,4
Rust Programming,TX00FV64,3
Software Testing with Robot Framework,TT00FH76,3
SQL and Relational Databases,TT00CB01,3
SQL-ja relaatiotietokannat,TT00DV44,5
Todennäköisyys ja tilastomatematiikka,TT00EM35,3
Unity-peliohjelmointi,TT00DU32,5
Yhteiskunnallinen kriisinkestävyys,TX00FV62,3
